fullname,gender,inhouse,job,profile,photo,twitter
倉田明子,2,,東京外国語大学総合国際学研究院准教授,1976年、埼玉県飯能市生まれ。東京外国語大学総合国際学研究院准教授。東京大学教養学部教養学科卒、同大学大学院総合文化研究科地域文化研究専攻博士課程修了、博士（学術）。学生時代に北京で1年、香港で3年を過ごす。愛猫家。専門は中国近代史（太平天国史、プロテスタント史、香港・華南地域研究）。,https://www.asahicom.jp/comment/assets/img/commentator/outside/10akiko_kurata.jpg,https://www.facebook.com/akiko.kurata.5/
小室淑恵,2,,株式会社ワーク・ライフバランス社長,残業を減らし業績を上げる「働き方改革コンサルティング」を1千社以上へ導入。年200回の講演依頼。産業競争力会議民間議員、経産省産業構造審議会、文科省中央教育審議会などの委員を歴任。著書『働き方改革』（毎日新聞出版）、『6時に帰るチーム術』（日本能率協会マネジメントセンター）、『男性の育休』(PHP新書)など34冊。多様な事情を抱えるチームで業績をあげるゲーム型研修『ライフ・スイッチ』が好評。「ワーク・ライフバランスコンサルタント養成講座」を主宰し卒業生は2千人。朝メールドットコム（R）、カエル会議オンライン、介護と仕事の両立ナビ、育児と仕事の調和プログラム「アルモ」などのWEBサービスを開発。2児の母。,https://www.asahicom.jp/comment/assets/img/commentator/outside/11yoshie_komuro.jpg,https://twitter.com/worklifeb
佐藤優,1,,作家・元外務省主任分析官,1960年、東京都生まれ、同志社大学神学部卒、同志社大学大学院神学研究科修了（神学修士）。1985年に外務省入省。英国の陸軍語学学校でロシア語を学び、その後、モスクワの日本国大使館、東京の外務省国際情報局に勤務。2002年5月に鈴木宗男事件に連座し、東京地検特捜部に逮捕、起訴され、無罪主張をし、争うも2009年6月に執行猶予付き有罪確定。2013年6月に執行猶予期間を満了し、刑の言い渡しが効力を失った。『国家の罠』『自壊する帝国』『交渉術』などの作品がある。,https://www.asahicom.jp/comment/assets/img/commentator/outside/12masaru_sato.jpg,
佐橋亮,1,,東京大学東洋文化研究所准教授,国際基督教大学卒。東京大学大学院博士課程修了、博士（法学）。イリノイ大学、オーストラリア国立大学留学、神奈川大学教授を経て2019年から現職。外務省・科学技術外交推進会議委員。スタンフォード大学客員准教授などを歴任し、現在は日本国際交流センター客員研究員、経済産業研究所ファカルティフェローなどを兼ねる。専攻は国際政治学、とくに米中関係、東アジアの国際関係。著書に『米中対立　アメリカの戦略転換と分断される世界』（中央公論新社、近刊）、『共存の模索　アメリカと「2つの中国」の冷戦史』（勁草書房）、編著書に『冷戦後の東アジア秩序』（勁草書房）など。,https://www.asahicom.jp/comment/assets/img/commentator/outside/13ryo_sahashi.jpg,https://twitter.com/ryo384_ir
神内聡,1,,弁護士（スクールロイヤー）・高校教師,本郷さくら総合法律事務所弁護士・兵庫教育大学大学院准教授。日本で初めて法曹資格を持つ教師として私立中高一貫校で勤務し（現在は非常勤）、2020年より弁護士で初めて教職大学院の教員に就任、学校での外部人材の効果検証や法教育などを研究している。また、教師の経験を活かし、学校現場に詳しい弁護士として様々なスクールロイヤー活動を行っている。専門は教育法・学校経営。高校では現代社会を担当。東京大学法学部卒業・同大学院教育学研究科修了。専修免許保有。著書に『学校弁護士　スクールロイヤーが見た教育現場』（角川新書）、『スクールロイヤー　学校現場の事例で学ぶ教育紛争実務Q&A170』（日本加除出版）など。,https://www.asahicom.jp/comment/assets/img/commentator/outside/14akira_jinnai.jpg,
千正康裕,1,,株式会社千正組代表・元厚労省官僚,1975年生まれ。慶應大学法学部卒。2001年、厚生労働省入省。医療、年金、子育て、働き方、女性活躍などの分野で8本の法律の立案に携わる。秘書官や大使館勤務も経験。医療政策企画官として医師の働き方改革を担当した後、2019年9月末に退職。2020年1月に株式会社千正組設立。企業、民間団体のコンサルティングにより、政策と現場の橋渡しに取り組むほか、政策などを一般の人に伝えるためメディア出演などをしている。内閣府や環境省の有識者会議委員も務める。著書に霞が関の働き方改革を訴える「ブラック霞が関」。自身のツイッターやNoteでも発信している。,https://www.asahicom.jp/comment/assets/img/commentator/outside/15yasuhiro_sensho.jpg,https://twitter.com/yasusensho
田中俊之,1,,社会学・男性学研究者,"1975年、東京都生まれ。大正大学心理社会学部准教授。「日本では""男""であることと""働く""こととの結びつきがあまりにも強すぎる」と警鐘を鳴らす。著書『男性学の新展開』（青弓社）、『男がつらいよ―絶望の時代の希望の男性学』（KADOKAWA）、『〈40男〉はなぜ嫌われるか』（イースト新書）、『男が働かない、いいじゃないか！』（講談社＋α新書）、小島慶子×田中俊之『不自由な男たち――その生きづらさは、どこから来るのか』（祥伝社新書）など。内閣府男女共同参画推進連携会議有識者議員、渋谷区男女平等・多様性社会推進会議委員、プラチナ構想ネットワーク特別会員。",https://www.asahicom.jp/comment/assets/img/commentator/outside/16tosiyuki_tanaka.jpg,https://twitter.com/danseigaku
津田大介,1,,ジャーナリスト,1973年生まれ。東京都出身。早稲田大学社会科学部卒。ポリタス編集長／ポリタスTVキャスター。メディアとジャーナリズム、テクノロジーと社会、表現の自由とネット上の人権侵害、地域課題解決と行政の文化事業、著作権とコンテンツビジネスなどを専門分野として執筆・取材活動を行う。主な著書に『情報戦争を生き抜く』（朝日新書）、『ウェブで政治を動かす！』（朝日新書）、『動員の革命』（中公新書ラクレ）、『情報の呼吸法』（朝日出版社）、『Twitter社会論』（洋泉社新書）ほか。,https://www.asahicom.jp/comment/assets/img/commentator/outside/17daisuke_tsuda.jpg,https://twitter.com/tsuda
中野円佳,2,,ジャーナリスト,ジャーナリスト・東京大学大学院教育学研究科博士課程。2007年に東京大学教育学部を卒業後、日本経済新聞社に入社。大企業の財務や経営、厚生労働政策を取材。立命館大学大学院先端総合学術研究科で修士号取得、2015年4月よりフリージャーナリスト。厚労省「働き方の未来2035懇談会」、経産省「競争戦略としてのダイバーシティ経営の在り方に関する検討会」「雇用関係によらない働き方に関する研究会」委員を歴任。著書に『「育休世代」のジレンマ～女性活用はなぜ失敗するのか？』、『上司の「いじり」が許せない』、『なぜ共働きも専業もしんどいのか～主婦がいないと回らない構造』。2017年よりシンガポール在住。,https://www.asahicom.jp/comment/assets/img/commentator/outside/22madoka_nakano.jpg,https://twitter.com/MadokaNakano
常見陽平,1,,千葉商科大学准教授・働き方評論家,北海道札幌市出身。一橋大学商学部卒業、同大学大学院社会学研究科修士課程修了（社会学修士）。リクルート、バンダイ、ベンチャー企業、フリーランス活動を経て2015年4月より千葉商科大学国際教養学部専任講師（現在は准教授）。専攻は労働社会学。会社員、フリーランス経験を活かし、多様な視点から働き方事情、大学生の就職活動などを中心に、執筆・講演など幅広く活動中。『僕たちは育児のモヤモヤをもっと語っていいと思う』（自由国民社）、『なぜ、残業はなくならないのか』（祥伝社新書）、『僕たちはガンダムのジムである』（日本経済新聞社）、『「就活」と日本社会』（NHK出版）など著書多数。,https://www.asahicom.jp/comment/assets/img/commentator/outside/18youhei_tsunemi.jpg,https://twitter.com/yoheitsunemi
露木志奈,2,,環境活動家,"2001年、横浜生まれ、中華街育ち。15歳まで日本の公立学校に通い、高校3年間を「世界一エコな学校」と言われるインドネシアの「Green School Bali」で過ごし、2019年6月に卒業。2018年にCOP24（気候変動枠組条約締約国会議）in Poland、2019年にCOP25 in Spainに参加。肌が弱かった妹のために口紅を開発し、Shiina Cosmeticsを立ち上げる。
      2019年9月、慶應義塾大学環境情報学部に入学。現在は、気候変動についての講演会を全国の中学生・高校生に行うため、休学中。",https://www.asahicom.jp/comment/assets/img/commentator/outside/19shiina_tsuyuki.jpg,https://m.facebook.com/people/Shiina-Tsuyuki/100005340496186
長島美紀,2,,SDGs市民社会ネットワーク 理事,政治学博士。早稲田大学大学院で先進国の難民受け入れ政策を研究する傍ら難民支援を行う国際機関やNPO法人にインターン／リサーチャーとして関わる。その後アフリカに関するキャンペーン活動や様々なNGOや財団の運営、政策提言活動、キャンペーン事業に従事してきた。一般社団法人SDGs市民社会ネットワークでは、普及啓発事業を担当し団体広報やイベント企画「サステナブル・ストーリー・プロジェクト」など運営。著書に「FGM(女性性器損傷)とジェンダーに基づく迫害概念をめぐる諸課題―フェミニズム国際法の視点からの一考察」（早稲田大学出版部）。,https://www.asahicom.jp/comment/assets/img/commentator/outside/20miyuki_nagashima.jpg,https://twitter.com/SDGsJapan
長野智子,2,,キャスター・ジャーナリスト,米ニュージャージー州生まれ。1985年上智大学外国語学部英語学科卒業後、アナウンサーとしてフジテレビに入社。その後フリーに。99年ニューヨーク大学大学院修士課程を修了。2000年「ザ・スクープ」（テレビ朝日系）のキャスターに抜擢され帰国。「朝まで生テレビ！」「報道ステーション」「サンデーステーション」のキャスターなどを経て、現在は自らも国内外の現場へ取材に出る傍ら、国連UNHCR協会の報道ディレクターを務める。,https://www.asahicom.jp/comment/assets/img/commentator/outside/21tomoko_nagano.jpg,https://twitter.com/nagano_t
中満泉,2,,国際連合事務次長・軍縮担当上級代表,早稲田大学、米国ジョージタウン大学大学院修了後、国連難民高等弁務官事務所（UNHCR）に入所。湾岸戦争やボスニア紛争の最前線で危機対応や人道支援に従事。国連平和維持活動（PKO）局で政策部長、アジア・中東部長、国連開発計画（UNDP）危機対応局長を歴任し、2017年より現職。2女の母。,https://www.asahicom.jp/comment/assets/img/commentator/outside/23izumi_nakamitsu.jpg,https://twitter.com/NakamitsuUN
プチ鹿島,1,,時事芸人,1970年生まれ。長野県出身。芸人、コラムニスト。新聞14紙を読み比べ、スポーツ、文化、政治と幅広いジャンルからニュースを読み解く。『東京ポッド許可局』（TBSラジオ）、『キックス』（YBSラジオ）出演中。著書『芸人式新聞の読み方』（幻冬舎）『教養としてのプロレス』（双葉新書）など。,https://www.asahicom.jp/comment/assets/img/commentator/outside/24kashima_petit.jpg,https://twitter.com/pkashima
三牧聖子,2,,高崎経済大学経済学部国際学科准教授,アメリカ政治外交、政治思想研究。東京大学教養学部卒、同大大学院総合文化研究科で博士号取得（学術）。米国イェール大学研究員、日本学術振興会特別研究員、早稲田大学助手、米国ハーバード大学、ジョンズホプキンズ大学研究員、関西外国語大学助教などを経て2017年より現職。主著に『戦争違法化運動の時代－「危機の20年」のアメリカ国際関係思想』（名古屋大学出版会）など。近著に、共訳・解説『リベラリズムー失われた歴史と現在』（ヘレナ・ローゼンブラット著、青土社）。,https://www.asahicom.jp/comment/assets/img/commentator/outside/25seiko_mimaki.jpg,https://www.facebook.com/seiko.mimaki/
李炯植,1,,ラーニング・フォー・オール代表理事,"特定非営利活動法人Learning for All 代表理事。1990年、兵庫県生まれ。東京大学教育学部卒業。東京大学大学院教育学研究科修了。2014年に特定非営利活動法人Learning for All を設立、同法人代表理事に就任。これまでにのべ9,500人以上の困難を抱えた子どもへの無償の学習支援や居場所支援を行っている。全国子どもの貧困・教育支援団体協議会理事。2018年「Forbes JAPAN 30 under 30」に選出。",https://www.asahicom.jp/comment/assets/img/commentator/outside/26lee_hyeong_Gi.jpg,https://twitter.com/lfa_lee
秋山訓子,2,TRUE,編集委員（政治、ＮＰＯ）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/01noriko_akiyama.jpg,
石合力,1,TRUE,編集局長補佐（国際、中東）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/02tsutomu_ishiai.jpg,
伊藤大地,1,TRUE,朝日新聞デジタル編集長,,https://www.asahicom.jp/comment/assets/img/commentator/inside/03daichi_ito.jpg,
稲垣康介,1,TRUE,編集委員（スポーツ）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/04kosuke_inagaki.jpg,
鵜飼啓,1,TRUE,オピニオン編集長代理（国際）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/05satoshi_ukai.jpg,
氏岡真弓,2,TRUE,編集委員（教育、子ども）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/06mayumi_ujioka.jpg,
江渕崇,1,TRUE,記者（米経済、金融、雇用）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/07takashi_ebuchi.jpg,
大久保真紀,2,TRUE,編集委員（子ども虐待など）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/08maki_okubo.jpg,
岡本峰子,2,TRUE,編集局長補佐（多様性と社会）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/09mineko_okamoto.jpg,
奥山晶二郎,1,TRUE,withnews編集長,,https://www.asahicom.jp/comment/assets/img/commentator/inside/10syojiro_okuyama.jpg,
栗林史子,2,TRUE,記者（ダイバーシティ、企業）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/11fumiko_kuribayashi.jpg,
郷富佐子,2,TRUE,論説委員（国際、ジェンダー）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/12fusako_go.jpg,
駒木明義,1,TRUE,論説委員（ロシア、国際関係）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/13akiyoshi_komaki.jpg,
佐藤武嗣,1,TRUE,編集委員（外交、安全保障）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/14taketsugu_sato.jpg,
澤路毅彦,1,TRUE,編集委員（労働）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/15takehiko_sawaji.jpg,
沢村亙,1,TRUE,論説委員（国際政治、歴史）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/16wataru_sawamura.jpg,
志村亮,1,TRUE,東京経済部次長（企業、労働）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/17ryo_shimura.jpg,
諏訪和仁,1,TRUE,京都総局記者（働き方、経済）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/18kazuhito_suwa.jpg,
田幸香純,2,TRUE,記者（小売り、外食、食品）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/19kazumi_tako.jpg,
田渕紫織,2,TRUE,ハグスタ編集長（子育て）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/30shiori_tabuchi.jpg,
中小路徹,1,TRUE,編集委員（スポーツ、社会）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/20toru_nakakoji.jpg,
箱田哲也,1,TRUE,論説委員（朝鮮半島担当）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/21tetsuya_hakoda.jpg,
福田直之,1,TRUE,記者（産業、テック、中国）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/22naoyuki_fukuda.jpg,
古谷浩一,1,TRUE,論説委員（中国政治、日中）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/23koichi_furuya.jpg,
北郷美由紀,2,TRUE,編集委員（ＳＤＧｓ）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/24miyuki_hokugo.jpg,
前田直人,1,TRUE,コンテンツ戦略ディレクター,,https://www.asahicom.jp/comment/assets/img/commentator/inside/25naoto_maeda.jpg,
増谷文生,1,TRUE,論説委員（教育）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/26fumio_masutani.jpg,
宮坂麻子,2,TRUE,編集委員（教育）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/27asako_miyasaka.jpg,
山下剛,1,TRUE,記者（医療的ケア児、子育て）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/28go_yamashita.jpg,
吉岡桂子,2,TRUE,編集委員（中国など国際関係）,,https://www.asahicom.jp/comment/assets/img/commentator/inside/29keiko_yoshioka.jpg,
